Time,Temp,Lux1,Lux2,IR1,IR2,Accel_X,Accel_Y,Accel_Z,VBAT
18/01/2023 17:36,18.81,0,57.96,65535,6257.7,0.23634,-0.257425,9.891479,3.45
25/04/2023 08:19,23.19,0,69.17,65535,7613.15,4.746418,0.558489,7.517287,3.784
25/04/2023 08:49,14.31,0,68.3,65535,7530.8,-1.928478,9.676712,-0.426589,3.788
25/04/2023 09:19,15,0,68.32,65535,7542.75,-1.869147,9.696817,-0.321168,3.788
25/04/2023 09:49,15,0,68.31,65535,7556.05,-1.849534,9.715448,-0.304006,3.786
25/04/2023 10:19,13.06,0,68.34,65535,7576.4,-1.163559,9.52471,0.166713,3.782
25/04/2023 10:49,12,0,68.23,65535,7575.6,-1.788733,9.753695,0.360885,3.782
25/04/2023 11:19,12,0,68.41,65535,7566.9,9.863038,-0.157397,-1.586716,3.784
25/04/2023 11:49,10.94,0,68.44,65535,7547.6,-1.044899,9.393298,0.244676,3.782
25/04/2023 12:19,12.81,0,68.18,65535,7528.55,-0.53054,7.340767,6.515538,3.784
25/04/2023 12:49,13.62,0,134.42,65535,9910.35,8.776462,-4.36494,2.605137,3.786
25/04/2023 13:19,13.62,299.34,61.97,25194.5,7285.65,9.035357,1.448932,4.082999,3.786
25/04/2023 13:49,18.06,296.88,61.9,25091.7,7275.1,9.587472,0.965465,2.793424,3.784
25/04/2023 14:19,12.94,295.67,62.46,24988,7347.8,10.006705,-0.391285,0.896818,3.782
25/04/2023 14:50,12.94,297.25,61.43,25121,7263.65,9.854213,0.13239,1.897587,3.78
25/04/2023 15:20,10.62,303.12,62.56,25535.2,7342.3,9.228058,3.088604,2.120688,3.78
25/04/2023 15:50,10.44,296.71,62.55,25092.4,7332.35,8.624949,4.851349,0.20692,3.78
25/04/2023 16:20,10.44,299.87,62.17,25355.5,7325.6,8.358698,5.258817,0.850237,3.78
25/04/2023 16:50,10.31,297.62,61.96,25192.15,7305,7.182881,6.495436,-1.758333,3.78
25/04/2023 17:20,10.31,298.45,62.04,25239.9,7316.3,7.534448,5.57508,3.168039,3.78
25/04/2023 17:50,10.31,297.53,62.47,25174.4,7379.9,8.919638,2.873349,3.336222,3.778
25/04/2023 18:20,10.25,300.31,62.42,25328.45,7361.65,8.546005,3.091547,4.236473,3.778
25/04/2023 18:50,10.25,302.44,62.36,25524.8,7374.95,8.163056,3.159212,4.737592,3.78
25/04/2023 19:20,10.25,302.98,62.09,25590.85,7351.2,9.34917,2.485986,2.470786,3.78
25/04/2023 19:50,10.25,302.53,62.06,25613.3,7351,9.640917,0.999788,2.160895,3.778
25/04/2023 20:20,10.25,298.65,62.03,25231.35,7359.9,9.759088,1.196902,1.301833,3.778
25/04/2023 20:50,10.31,305.52,62.38,25705.8,7397.15,9.774778,1.485708,1.160127,3.778
25/04/2023 21:20,10.31,300.48,62.03,25364.45,7370.55,9.962085,0.039717,-0.007355,3.776
25/04/2023 21:50,10.38,295.77,61.52,24958.5,7299.95,9.862547,-1.110113,0.736479,3.778
25/04/2023 22:20,10.38,301.91,62.13,25488.9,7362,9.635524,1.558767,1.594071,3.778
25/04/2023 22:50,10.38,295.59,62.86,24985,7434.05,9.564427,1.843159,1.978982,3.776
25/04/2023 23:20,10.38,299.96,62.75,25412.5,7437.5,8.661725,3.90746,2.738016,3.776
25/04/2023 23:50,10.38,297.53,62.12,25195.5,7369.25,7.827669,4.016804,4.554698,3.774
26/04/2023 00:20,10.38,297.46,62.66,25227.05,7437.15,7.798739,4.40907,4.157529,3.776
26/04/2023 00:50,10.38,296.26,62.07,25172.6,7361.25,8.162074,4.434076,3.46567,3.776
26/04/2023 01:20,10.38,296.99,62.47,25157.95,7411.3,8.946116,3.084192,2.845399,3.774
26/04/2023 01:50,10.44,292.13,63.03,24749.5,7473.55,9.441351,2.168741,2.124611,3.772
26/04/2023 02:20,10.44,299.88,62.02,25382.3,7355.7,9.912562,0.284393,0.627626,3.772
26/04/2023 02:50,10.44,300.24,63.05,25430.45,7448.7,9.852251,0.187307,0.23536,3.772
26/04/2023 03:20,10.38,301.14,63.09,25446.45,7459.6,9.573253,1.257213,2.353106,3.772
26/04/2023 03:50,10.38,298.38,64.35,25259.6,7597.1,8.738707,1.028227,4.656688,3.772
26/04/2023 04:20,10.31,299.98,64.39,25356.5,7609.2,7.670763,1.129726,6.166422,3.772
26/04/2023 04:51,10.25,302.12,64.43,25599.8,7609.1,7.456976,1.966724,6.247817,3.772
26/04/2023 05:21,10.25,298.27,64.78,25291.15,7627.2,7.909063,0.76639,5.848196,3.772
26/04/2023 05:51,10.19,301.31,63.9,25526.15,7545.9,7.336354,1.278787,6.573889,3.772
26/04/2023 06:21,10.19,294.7,65.24,25016.8,7654.9,7.457957,0.891424,6.446891,3.772
26/04/2023 06:51,10.19,300.98,64.3,25526.7,7574.95,8.083132,4.260499,3.923641,3.77
26/04/2023 07:21,10.19,298.62,63.96,25251.75,7538.3,9.429585,2.413416,1.876993,3.772
26/04/2023 07:51,10.12,295.17,64.4,25009.65,7571.85,8.93582,3.042513,2.972886,3.77
26/04/2023 08:21,10.19,304.39,63.65,25785.15,7492.65,9.11283,3.220504,2.240819,3.768
26/04/2023 08:51,10.19,300.78,65.45,25447.2,7639.3,9.677203,1.871109,1.104229,3.766
26/04/2023 09:21,10.19,299.06,63.1,25282,7419.1,9.64435,1.289575,2.003008,3.77
26/04/2023 09:51,10.19,293.42,62.12,24840,7255.65,9.87971,0.671265,0.411879,3.768
26/04/2023 10:21,10.19,302.4,63.79,25556.3,7465.55,9.916486,-0.429041,-0.089731,3.766
26/04/2023 10:51,10.19,299.51,64.31,25270.15,7468.4,9.876276,1.38666,-0.269683,3.764
26/04/2023 11:21,10.25,293.96,64.61,24863.1,7461.6,9.647293,1.409216,-1.7701,3.766
26/04/2023 11:51,10.25,297.55,63.79,25163.35,7394,9.238846,2.605137,-2.268769,3.766
26/04/2023 12:21,10.25,297.71,65.23,25254.1,7577.35,9.394281,3.002796,-1.009104,3.764
26/04/2023 12:51,10.25,305.28,64.4,25764.15,7508.9,9.626208,2.298188,-0.057859,3.766
26/04/2023 13:21,10.31,303.26,65.19,25588,7598.15,9.108417,3.61228,0.566824,3.762
26/04/2023 13:51,10.31,298.44,65.37,25222.95,7627.1,9.375648,3.030255,-0.267722,3.764
26/04/2023 14:21,10.31,300.85,65.79,25403.35,7670.45,9.8346,1.23907,0.29518,3.762
26/04/2023 14:51,10.25,303.53,65.2,25615.1,7634.2,9.886574,0.007355,1.411667,3.764
26/04/2023 15:21,10.25,288.65,65.59,24517.45,7667.85,9.864999,0.393247,1.006653,3.764
26/04/2023 15:51,10.25,297.78,65.25,25232.15,7623.4,9.101553,2.534529,3.203342,3.762
26/04/2023 16:21,10.25,299.98,66.84,25373.35,7798.15,8.271909,2.466372,4.814085,3.762
26/04/2023 16:51,10.25,294.06,66.17,24906.25,7734.45,7.813939,2.893942,5.276469,3.762
26/04/2023 17:21,10.19,296.62,66.74,25097,7785.7,7.574656,2.877761,5.645198,3.762
26/04/2023 17:51,10.25,299.27,67.46,25282.55,7836.75,8.367524,2.873349,4.382102,3.762
26/04/2023 18:21,10.25,294.37,67.17,24875.25,7847.1,8.643582,2.205516,4.149684,3.76
26/04/2023 18:51,10.25,297.69,66.36,25137.5,7761.05,8.571012,2.743901,4.140859,3.762
26/04/2023 19:22,10.25,294.93,65.87,24974.15,7709.25,9.143722,2.157463,3.076346,3.76
26/04/2023 19:52,10.31,296.8,66.07,25110.5,7744.5,9.618854,1.526405,1.902,3.76
26/04/2023 20:22,10.31,297.4,66.16,25118.65,7737.35,9.682597,1.4151,1.495514,3.76
26/04/2023 20:52,10.31,298.48,65.89,25200.15,7717.9,9.70417,1.473449,1.583774,3.76
26/04/2023 21:22,10.31,298.86,65.88,25265.35,7720.95,9.791942,0.552605,1.751958,3.76
26/04/2023 21:52,10.31,305.4,67.25,25752.55,7828.45,9.92139,-0.168674,0.543779,3.758
26/04/2023 22:22,10.31,296.67,70.07,25063.1,8098.9,9.932177,-0.072079,0.004413,3.758
26/04/2023 22:52,10.31,294.78,66.74,24981.75,7801.05,9.638467,-1.830902,1.622511,3.758
26/04/2023 23:22,10.31,303.66,65.57,25673.2,7587.75,9.58453,-1.205237,-2.350164,3.758
26/04/2023 23:52,10.31,306.92,70.51,25914.5,8063.55,9.270718,-0.681072,-3.402908,3.758
27/04/2023 00:22,10.31,301.83,68.4,25558.95,7779.25,9.078506,-0.387363,-3.780954,3.758
27/04/2023 00:52,10.31,301.31,63.89,25506.85,7482.2,9.20109,-0.421686,-3.621596,3.756
27/04/2023 01:22,10.31,305.72,68.27,25820.45,7860.9,9.249144,0.091692,-3.483812,3.758
27/04/2023 01:52,10.25,304.27,66.15,25760.05,7661.3,9.20158,0.994885,-3.331319,3.758
27/04/2023 02:22,10.25,306.96,66.37,25871.9,7657.05,9.632583,0.004413,-2.09323,3.756
27/04/2023 02:52,10.25,284.16,60.98,24093.1,7197.2,9.937078,0.13288,0.152493,3.756
27/04/2023 03:22,10.25,301.55,63.11,25683.95,7428.15,9.940512,0.211333,-0.075021,3.756
27/04/2023 03:52,10.25,285.23,63.16,24546,7414.3,9.862059,0.79679,0.742854,3.756
27/04/2023 04:22,10.25,245.27,65.27,21283.7,7629.75,9.830187,1.110113,1.122371,3.756
27/04/2023 04:52,10.19,298.05,64.56,25405,7570.85,8.731351,2.59533,3.855975,3.756
27/04/2023 05:22,10.19,314.02,65.71,26712.05,7669.25,8.055182,2.179038,5.39807,3.756
27/04/2023 05:52,10.19,292.55,64.78,24896.8,7573.7,7.621239,3.543633,5.199976,3.756
27/04/2023 06:22,10.19,305.14,64.49,25954.25,7562.5,8.308193,2.771359,4.536556,3.756
27/04/2023 06:52,10.19,317.09,64.93,26880.9,7590.35,8.317021,3.023391,4.499782,3.756
27/04/2023 07:22,10.19,310.05,65.46,26400.25,7632.55,8.80343,1.749997,4.376708,3.756
27/04/2023 07:52,10.19,299.71,65.21,25525.7,7619.15,8.984851,1.833353,3.78929,3.754
27/04/2023 08:22,10.19,293.75,65.94,24863.4,7675.8,8.599451,1.561709,4.720921,3.756
27/04/2023 08:52,10.19,289.27,63.86,24550.2,7481.75,9.772818,0.806597,1.468546,3.754
27/04/2023 09:22,10.19,286.06,64.52,24321.4,7543.85,9.655136,1.19494,2.045177,3.754
27/04/2023 09:53,10.25,296.65,64.94,25063.6,7565.3,9.870393,0.891915,0.751189,3.754
27/04/2023 10:23,10.25,291.55,64.33,24695.25,7510.55,9.89246,0.418254,0.787474,3.754
27/04/2023 10:53,10.25,303.16,63.67,25508.35,7417.95,9.904716,-0.411879,-0.444731,3.754
27/04/2023 11:23,10.25,294.15,66.79,24836.3,7709.65,9.88069,-0.050504,-0.494255,3.754
27/04/2023 11:53,10.25,298.7,63.53,25230.9,7465.05,9.802238,0.220159,-1.460701,3.754
27/04/2023 12:23,10.31,292.97,68.82,24770.25,7891.7,9.785074,-0.985078,-1.396957,3.754
27/04/2023 12:53,10.31,297.98,74.33,25147.2,8412.4,9.678673,0.090712,-1.891703,3.754
27/04/2023 13:23,10.31,304.62,72.76,25663.9,8219.6,9.663473,-1.156695,-1.678898,3.754
27/04/2023 13:53,10.31,293.93,65.66,24828.65,7544,9.705641,-0.335878,-2.128043,3.754
27/04/2023 14:23,10.31,291.98,63.39,24624.6,7401.25,9.813516,0.175539,-1.462172,3.754
27/04/2023 14:53,10.31,299.55,60.47,25304.25,7117.1,9.77527,0.370691,-1.830411,3.754
27/04/2023 15:23,10.31,296.94,64.81,25059.9,7534.05,9.910602,0.519262,0.377556,3.754
27/04/2023 15:53,10.31,253.31,62.01,21864.95,7287.9,9.908639,-0.342252,0.919864,3.752
27/04/2023 16:23,10.31,272.14,65.07,23531.15,7592.1,9.667397,1.560238,1.746074,3.754
27/04/2023 16:53,10.31,300.59,70.21,25403.2,8057.45,9.552168,1.787753,2.090288,3.752
27/04/2023 17:23,10.31,296.11,67.41,25092.8,7713.45,8.786268,2.483534,3.836362,3.754
27/04/2023 17:53,10.31,299.83,65.49,25357.55,7546.3,9.15696,2.156973,3.087624,3.752
27/04/2023 18:23,10.25,294.73,70.83,24938.45,8093.7,8.086564,1.856889,5.32403,3.752
27/04/2023 18:53,10.25,293.07,69.21,24844.55,7914.45,7.566321,2.59631,5.668735,3.752
27/04/2023 19:23,10.25,296.65,71.65,25076,8182.1,9.244729,1.643595,3.261692,3.748
27/04/2023 19:53,10.19,295.73,71.09,24995.75,8122.8,9.193734,1.291536,3.340145,3.748
27/04/2023 20:23,10.19,288.04,72.7,24499.8,8279.4,9.370745,1.072847,3.076836,3.75
27/04/2023 20:53,10.19,292.88,72.42,24869.15,8313.6,9.668376,0.459442,2.068223,3.75
27/04/2023 21:23,10.25,282.81,75.62,24018.4,8597.35,9.789,0.23536,1.466094,3.75
27/04/2023 21:53,10.25,294.02,74.31,24878.1,8448.75,9.826262,0.761977,1.538173,3.748
27/04/2023 22:23,10.25,297.34,72.36,25106.85,8256,9.90766,0.140725,0.921335,3.748
27/04/2023 22:53,10.25,299.13,71.25,25307.75,8244.4,9.937571,-0.203978,0.232418,3.748
27/04/2023 23:23,10.25,304.44,68.62,25758.75,7954.3,9.898833,-0.613406,0.304497,3.748
27/04/2023 23:53,10.25,290.69,70.43,24584.05,8077.55,9.857155,-0.968897,1.138062,3.746
28/04/2023 00:24,10.25,299.44,68.74,25306.9,7967.95,9.592865,-1.693118,2.035371,3.748
28/04/2023 00:54,10.25,293.42,67.63,24820.5,7873.3,9.393789,-2.292305,2.439404,3.746
28/04/2023 01:24,10.25,297.93,68.38,25172,7890.15,9.382512,-2.136869,2.533548,3.746
28/04/2023 01:54,10.25,300.1,67.52,25340.15,7823.75,9.281504,-2.302111,2.766946,3.748
28/04/2023 02:24,10.31,290.38,68.89,24610.45,7965.7,9.361429,-2.067242,2.762533,3.744
28/04/2023 02:54,10.31,295.93,66.08,25090.45,7712.75,8.968672,-3.36123,2.845399,3.746
28/04/2023 03:24,10.31,290.11,68.42,24582,7886.65,9.635034,-2.155502,1.146397,3.744
28/04/2023 03:54,10.31,297.76,64.03,25216.25,7503.8,9.789488,-1.793636,0.965465,3.746
28/04/2023 04:24,10.31,300.8,64.09,25449.15,7489.9,9.926292,-0.36824,0.124544,3.744
28/04/2023 04:54,10.31,301.21,63.45,25519.5,7476.8,9.916484,-1.009104,0.128957,3.744
28/04/2023 05:24,10.31,293.53,68.47,24900.05,7937.25,9.904715,-0.675678,-0.112777,3.744
28/04/2023 05:54,10.31,301.67,58.29,25598.85,6890.9,9.841464,1.112074,-0.056879,3.744
28/04/2023 06:24,10.31,299.8,63.32,25435.05,7440.95,9.737024,1.025285,1.718615,3.742
28/04/2023 06:54,10.31,303.97,61.95,25711.05,7291.55,9.709074,1.501398,1.56367,3.744
28/04/2023 07:24,10.31,304.46,62.44,25811.8,7352.75,9.79096,1.499927,-0.052956,3.742
28/04/2023 07:54,10.31,313.16,62.92,26466,7378.45,9.786547,1.789223,0.558489,3.742
28/04/2023 08:24,10.31,301.37,61.81,25585.55,7278.8,9.889516,0.6492,-0.075511,3.742
28/04/2023 08:54,10.31,298.42,62.82,25307.25,7379.2,9.64288,2.356048,0.629097,3.742
28/04/2023 09:24,10.31,306.85,61.55,25931,7228.2,9.881672,0.960562,0.11817,3.742
28/04/2023 09:54,10.31,279.24,61.6,23757.65,7185.1,9.820379,0.853669,0.802674,3.74
28/04/2023 10:24,10.31,309.99,60.82,26187.35,7129.05,9.956693,0.468268,-0.579083,3.74
28/04/2023 10:54,10.31,298.33,62.76,25230.25,7310.15,10.105753,-0.407466,-0.582025,3.74
28/04/2023 11:24,10.31,285.81,60.46,24176.55,7106.85,9.860097,0.253502,0.875244,3.74
28/04/2023 11:54,10.31,294.91,60.28,24943.7,7091,9.656118,0.209372,1.860812,3.736
28/04/2023 12:24,10.31,295.53,58.71,24945.6,6938.1,9.681125,0.283412,2.104017,3.74
28/04/2023 12:54,10.38,289.84,64.49,24520.5,7490.85,8.619555,1.382738,4.74789,3.738
28/04/2023 13:24,10.38,295.84,62.53,24952.2,7291.15,9.079978,1.435203,3.615712,3.738
28/04/2023 13:54,10.44,294.11,63.47,24832.4,7263.1,8.102255,1.013027,5.724141,3.736
28/04/2023 14:25,10.44,294.65,70.37,24713.35,7979.35,9.08537,2.057926,3.245511,3.74
28/04/2023 14:55,10.44,289.03,63.61,24423.9,7402.3,9.276599,1.60682,2.531586,3.738
28/04/2023 15:25,10.44,294.91,64.36,24923.85,7467.8,9.801746,0.719318,1.319975,3.736
28/04/2023 15:55,10.5,298.02,64.72,25077.6,7475.4,9.835579,0.952716,1.151791,3.736
28/04/2023 16:25,10.5,296.44,67.7,25016.2,7741.45,9.839012,0.63449,1.125803,3.736
28/04/2023 16:55,10.5,290.5,70.66,24617.75,8106.4,9.867452,0.039717,0.098066,3.736
28/04/2023 17:25,10.56,311.95,67.08,26272,7725.9,9.897363,-0.11866,0.853669,3.736
28/04/2023 17:55,10.5,290.81,59.85,24597.75,7084.75,9.880692,0.975762,0.197604,3.736
28/04/2023 18:25,10.5,295.51,65.32,25054.6,7577.25,9.875297,1.258193,-0.336368,3.736
28/04/2023 18:55,10.56,298.77,64.43,25278.45,7499.7,9.662983,2.166289,0.743834,3.736
28/04/2023 19:25,10.56,302.22,64.17,25584.55,7502.8,9.763991,1.496985,-0.391285,3.736
28/04/2023 19:55,10.56,306.01,66.86,25841.75,7776.5,9.688479,2.085875,-0.025497,3.736
28/04/2023 20:25,10.56,298.33,61.87,25251.45,7286.15,9.564917,2.604156,0.980665,3.736
28/04/2023 20:55,10.56,299.03,62,25294.15,7294.15,9.606595,2.493341,0.003923,3.734
28/04/2023 21:25,10.56,287.17,68.39,24425.3,7891.65,9.847838,1.013517,-0.360885,3.732
28/04/2023 21:55,10.56,291.93,61.67,24761.9,7244.35,9.960124,0.187307,0.303025,3.734
28/04/2023 22:25,10.56,296.65,61.45,25082.25,7237.2,9.860587,1.037544,-0.155435,3.732
28/04/2023 22:55,10.56,304.38,61.73,25728.85,7268.15,9.940022,0.830623,-0.000981,3.732
28/04/2023 23:25,10.56,289.68,61.19,24546.3,7192.1,9.86549,-1.152282,-0.423647,3.734
28/04/2023 23:55,10.56,293.94,61.74,24848.9,7234.9,9.875299,-0.332445,0.414331,3.732
29/04/2023 00:25,10.5,305.66,63.83,25845.6,7398.8,9.941983,-1.123352,-0.552114,3.732
29/04/2023 00:55,10.5,274.56,60.87,23322.7,7040.55,10.020437,-0.036775,0.287335,3.732
29/04/2023 01:25,10.56,288.94,63.02,24458.3,7417.25,9.885104,1.025776,-0.112776,3.732
29/04/2023 01:55,10.56,306.11,67.54,25933.9,7811.4,9.919918,0.95909,-0.785022,3.732
29/04/2023 02:25,10.56,275.68,64.53,23526.75,7509.7,9.161371,2.994951,2.222677,3.73
29/04/2023 02:55,10.56,285.78,67.12,24225.25,7796.85,9.429093,2.342809,1.753919,3.73
29/04/2023 03:25,10.56,299.57,61.63,25311.5,7158.55,9.813025,1.197392,0.437867,3.732
29/04/2023 03:55,10.56,288.6,62.23,24435.05,7183.75,9.628168,1.952014,1.648988,3.732
29/04/2023 04:25,10.56,298.87,69.99,25225,8007.3,9.623265,2.235426,1.274374,3.732
29/04/2023 04:56,10.56,287.78,60.78,24440.5,7130.4,9.561975,2.282007,0.6188,3.73
29/04/2023 05:26,10.56,291.96,61.39,24766.65,7248.3,9.914034,0.541818,0.355981,3.73
29/04/2023 05:56,10.56,301.85,66.43,25517.75,7733.5,9.86647,0.966936,-0.548682,3.73
29/04/2023 06:26,10.56,281.78,64.89,23967.1,7528.85,9.842443,-0.703137,-0.453067,3.73
29/04/2023 06:56,10.56,299.41,64.52,25327.5,7424.45,9.813024,-0.284393,-1.030189,3.73
29/04/2023 07:26,10.56,297.44,64.01,25153.65,7463.7,9.796353,1.368028,-0.733047,3.73
29/04/2023 07:56,10.5,287.73,61.96,24464.25,7186.6,9.502643,2.741449,0.834546,3.728
29/04/2023 08:26,10.5,217.77,63.5,19236.6,7381.8,9.381042,2.227581,2.268278,3.728
29/04/2023 08:56,10.5,297.97,78.11,25150.8,8753,9.695348,1.692138,1.334195,3.728
29/04/2023 09:26,10.5,298.18,64.16,25300.75,7440.35,9.261889,1.825998,2.962589,3.728
29/04/2023 09:56,10.5,298.93,62.99,25304.85,7322.7,9.557073,2.332512,1.928968,3.728
29/04/2023 10:26,10.5,289.17,52.88,24440.1,6126.9,9.546774,2.352615,0.762957,3.728
29/04/2023 10:56,10.5,286.76,60.74,24290.35,7125.2,9.764973,1.538173,-0.26527,3.728
29/04/2023 11:26,10.5,275.46,60.69,23480.25,7130.1,9.551677,1.4455,0.905644,3.728
29/04/2023 11:56,10.56,287.41,61.04,24329.75,7159.35,9.958653,1.28271,0.698724,3.728
29/04/2023 12:26,10.56,287.52,61.28,24308.5,7147.75,9.820379,0.186326,-0.238302,3.728
29/04/2023 12:56,10.56,297.37,66.57,25008.6,7623.65,9.693383,0.249089,-1.152281,3.728
29/04/2023 13:26,10.62,291.18,62.55,24546.6,7281.15,9.962085,-0.10346,-0.184365,3.728
29/04/2023 13:56,10.62,291.4,66.71,24593.75,7668.9,9.939531,-0.018633,0.11817,3.728
29/04/2023 14:26,10.62,286.28,63.61,24152.25,7342.95,9.857156,0.252031,1.428339,3.728
29/04/2023 14:56,10.62,295.1,65.66,24748.5,7539.9,9.608557,0.509946,1.37195,3.728
29/04/2023 15:26,10.62,289.1,63.32,24385.75,7341.05,9.98464,-0.200546,1.97555,3.728
29/04/2023 15:56,10.62,293.52,68.09,24733.6,7748.25,10.068979,-0.547701,-0.933103,3.726
29/04/2023 16:26,10.69,289.3,65.6,24500,7579.5,9.828714,-0.031381,-1.440597,3.726
29/04/2023 16:56,10.62,296.1,65.83,24976.35,7603.25,9.50902,0.370691,-2.731152,3.726
29/04/2023 17:26,10.62,295.8,60.88,24922.35,7112,9.720842,0.62027,-1.413138,3.726
29/04/2023 17:56,10.69,280.3,61.36,23740.95,7177.55,9.750263,-0.616838,-0.403544,3.726
29/04/2023 18:26,10.69,295.97,65.07,25015.4,7537.4,9.810573,-0.154455,-0.595754,3.724
29/04/2023 18:56,10.69,269,62.68,22821.3,7304.55,10.001803,-0.371182,-0.143177,3.726
29/04/2023 19:27,10.69,284.46,63.73,24071,7410.35,9.696325,-0.713434,-0.799242,3.726
29/04/2023 19:57,10.69,282.65,64.9,23926.85,7485.35,10.014059,-0.413841,-0.85612,3.726
29/04/2023 20:27,10.69,294.15,65.01,24853.4,7511.85,9.604633,0.248108,-2.085874,3.726
29/04/2023 20:57,10.69,290.68,61.26,24689.5,7194.9,9.032414,3.547066,-1.605349,3.724
29/04/2023 21:27,10.69,288.03,61.73,24459.9,7220.95,9.582567,2.132456,-1.246426,3.724
29/04/2023 21:57,10.69,287.44,58.84,24360.6,6940.45,10.004744,0.538385,-0.610954,3.724
29/04/2023 22:27,10.69,302.63,58.72,25665.1,6929.4,9.884124,0.9586,0.081395,3.72
29/04/2023 22:57,10.62,314.46,58.38,26528.9,6900.9,9.777719,1.223379,-0.345684,3.722
29/04/2023 23:27,10.62,316.12,58.97,26759,6965.55,9.210404,2.911104,1.68037,3.722
29/04/2023 23:57,10.62,289.04,59.04,24656.75,6997.45,9.081939,3.762321,1.335175,3.722
30/04/2023 00:27,10.69,294.09,59.33,25036.75,7011.15,10.163122,-0.422667,0.25105,3.722
30/04/2023 00:57,10.69,293.21,61.56,24856.6,7212.9,10.049364,-0.365298,1.070886,3.72
30/04/2023 01:27,10.69,290.63,63.38,24636.75,7391.85,9.773797,-0.350097,-1.53376,3.72
30/04/2023 01:57,10.69,293.76,63.86,24878.95,7456.5,9.855684,-1.062551,-0.921825,3.722
30/04/2023 02:27,10.75,298.31,59.91,25241.95,7059.95,9.874807,0.658026,-0.775706,3.72
30/04/2023 02:57,10.75,293.98,59.66,24845.05,7043.4,9.687499,1.559748,-1.159146,3.72
30/04/2023 03:27,10.75,298.76,59.62,25354.75,7025.1,9.387415,2.908162,0.025497,3.718
30/04/2023 03:57,10.75,294.45,59.71,24902.7,7050.9,9.631601,-2.688984,0.67862,3.72
30/04/2023 04:27,10.81,304.35,60.27,25706.05,7091.95,8.744592,-4.664534,0.54525,3.718
30/04/2023 04:57,10.81,298.84,54.97,25269.25,6465.2,9.338873,-2.942485,-1.176798,3.718
30/04/2023 05:27,10.75,293.27,59.49,24877.85,7008.05,9.432035,-2.957195,-0.721279,3.718
30/04/2023 05:57,10.75,296.33,60.98,25115.65,7117.8,9.713978,-2.558064,-0.883089,3.718
30/04/2023 06:27,10.81,292.81,60.78,24858.9,7106.8,9.992485,-0.646749,0.161319,3.716
30/04/2023 06:57,10.81,304.27,59.75,25710.2,7019.1,9.892458,-0.85563,0.41286,3.716
30/04/2023 07:27,10.81,291.54,58.18,24630.45,6864.65,9.954239,-0.577612,-0.128467,3.714
30/04/2023 07:57,10.81,295.44,61.62,25009.5,7197.45,9.667887,-1.172385,0.674207,3.718
30/04/2023 08:27,10.81,301.02,60.9,25456.9,7096.75,9.789977,-1.677427,-0.603109,3.718
30/04/2023 08:57,10.81,291.99,62.66,24696.95,7268.6,9.986603,-1.131687,-0.462384,3.714
30/04/2023 09:27,10.81,290.15,64.11,24605.45,7320.2,9.653177,0.233889,-2.199141,3.716
30/04/2023 09:58,10.81,285.66,62.3,24207.5,7295.6,9.452631,2.011834,2.630634,3.714
30/04/2023 10:28,10.75,288.06,60.37,24386.25,7091.95,9.73212,1.187095,1.942697,3.714
30/04/2023 10:58,10.75,286.73,61.44,24245.8,7176.1,8.966711,1.4303,3.90697,3.712
30/04/2023 11:28,10.75,289.8,62.65,24438.2,7276.4,9.30602,1.407254,3.256298,3.712
30/04/2023 11:58,10.69,288.62,61.05,24373.4,7094.4,9.081449,0.82621,3.969732,3.712
30/04/2023 12:28,10.75,287.24,60.88,24252.6,7101.15,9.146172,0.709021,3.502446,3.712
30/04/2023 12:58,10.81,291.37,61.7,24579.5,7125.05,9.889516,1.13561,0.816894,3.712
30/04/2023 13:28,10.81,280.76,60.17,23845.55,7023.05,9.846365,0.02893,0.41237,3.712
30/04/2023 13:58,10.88,291.02,60.64,24432.75,7053.1,9.721823,-0.529559,-0.085318,3.714
30/04/2023 14:28,10.88,294.14,59.97,24787.35,6984.6,9.774778,-0.187307,0.032852,3.712
30/04/2023 14:58,10.88,294.52,59.44,24794.3,6937.5,9.893438,0.750699,0.241734,3.71
30/04/2023 15:28,10.94,302.83,62.65,25353.75,7299.75,9.890008,-0.594773,0.843862,3.712
30/04/2023 15:58,10.94,281.97,60.07,23862.75,7004.55,9.800277,-0.026478,1.629375,3.71
30/04/2023 16:28,10.94,291.44,56.09,24551.35,6540.65,9.544812,-2.423223,1.067454,3.71
30/04/2023 16:58,11,290.7,58.22,24532.7,6798.3,9.270226,-2.918459,1.252309,3.71
30/04/2023 17:28,11,289.84,58.4,24461.95,6820.1,9.049086,-3.430857,2.227581,3.708
30/04/2023 17:58,10.94,308.26,66.72,25905.25,7609,9.509999,-3.166077,-0.482487,3.71
30/04/2023 18:28,10.94,297.27,63.68,25090.7,7308.3,9.756638,-1.791185,-0.782571,3.71
30/04/2023 18:58,11,284.53,62.3,24110.25,7195.65,9.818908,-1.499437,0.284393,3.71
30/04/2023 19:28,11,295.73,60.24,24990.6,7076.75,9.722315,-1.833844,0.296161,3.708
30/04/2023 19:58,11,282.8,62.98,24042.8,7347,9.923839,-0.925257,0.215256,3.708
30/04/2023 20:28,11,289.07,59.73,24477.3,6915.55,9.887556,-1.191998,0.041678,3.708
30/04/2023 20:58,11,296.19,62.05,25020.7,7218.8,9.860096,-1.096874,1.008124,3.706
